,Id,FirstName,LastName,IDNumber,Email,CompanyId
0,1,Iván,Osuna Ayuste,23000,ivan.osuna.ayuste@gmail.com,
1,2,Mario,Novi Rod,296666,novirod@gmail.com,7.0
2,3,Juan,Garcia Garcia,2346800,Juan.Garcia@gmail.com,
3,4,Mateusz Aleksander,Duda,3694485,mateusz.aleksander@gmail.com,2.0
4,5,Michael,Wilson,7777777,mcantos@gmail.com,1.0
5,6,Marta,Pérez Arribas,5844692,marta.perez.arribas@gmail.com,
6,7,Vicenç,Côdina Soler,30000,vcs@gmail.com,3.0
7,8,Pedro,Oviedo Miedo,665444,Oviedo.Miedo@pepe.es,1.0
8,9,John,Spearman,77771177,mcantos@gmail.com,1.0
9,10,Marcelo,Buonera,2300120,primeragl@gmail.com,5.0
10,11,Mateo,Libra,71620135,bikes@gmail.com,2.0
